Kỳ Hạn,Lãi suất,Bid,Ask,Phiên trước,Tuần trước,Tháng trước,Thay đổi so với phiên trước
ON(*),1.117,0.913,1.32,-0.583,,2.76,1.7
Spot(*),2.473,2.24,2.707,0.107,,2.75,2.367
1W(*),4.053,3.82,4.287,2.527,,2.933,1.527
2W(*),4.293,4.08,4.507,3.403,,3.193,0.89
3W(*),4.253,4.02,4.487,3.637,,3.76,0.617
1M,4.233,4.033,4.433,3.825,,3.838,0.408
2M,4.033,3.833,4.233,3.931,,3.797,0.102
3M,4.03,3.8,4.26,3.867,,3.682,0.163
6M,3.863,3.64,4.087,3.713,,3.448,0.15
9M,3.837,3.607,4.067,3.65,,3.38,0.187
1Y,3.868,3.65,4.086,3.65,,3.377,0.218
(*) is indicative,,,,,,,
